date,FinGAN_AMZN_excess_returns_real,FinGAN_AMZN_excess_returns_pred,FinLS4_AMZN_excess_returns_real,FinLS4_AMZN_excess_returns_pred,type
2000-01-03,0.1208697934416818,0.1208697934416818,0.1208697934416818,0.1208697934416818,train
2000-01-04,-0.0311583731072586,-0.0311583731072586,-0.0311583731072586,-0.0311583731072586,train
2000-01-04,-0.0251811010611358,-0.0251811010611358,-0.0251811010611358,-0.0251811010611358,train
2000-01-05,-0.154268949919576,-0.154268949919576,-0.154268949919576,-0.154268949919576,train
2000-01-05,0.0059492171983097,0.0059492171983097,0.0059492171983097,0.0059492171983097,train
2000-01-06,0.0156782005169839,0.0156782005169839,0.0156782005169839,0.0156782005169839,train
2000-01-06,-0.0888972003975803,-0.0888972003975803,-0.0888972003975803,-0.0888972003975803,train
2000-01-07,0.0110390053177917,0.0110390053177917,0.0110390053177917,0.0110390053177917,train
2000-01-07,0.002149505755481,0.002149505755481,0.002149505755481,0.002149505755481,train
2000-01-10,0.0432456484143812,0.0432456484143812,0.0432456484143812,0.0432456484143812,train
2000-01-10,-0.0435254791324768,-0.0435254791324768,-0.0435254791324768,-0.0435254791324768,train
2000-01-11,-0.0370735094797725,-0.0370735094797725,-0.0370735094797725,-0.0370735094797725,train
2000-01-11,0.0068760881986804,0.0068760881986804,0.0068760881986804,0.0068760881986804,train
2000-01-12,0.014132999754912,0.014132999754912,0.014132999754912,0.014132999754912,train
2000-01-12,-0.0573624836135984,-0.0573624836135984,-0.0573624836135984,-0.0573624836135984,train
2000-01-13,0.0162175502630796,0.0162175502630796,0.0162175502630796,0.0162175502630796,train
2000-01-13,0.0152820548109395,0.0152820548109395,0.0152820548109395,0.0152820548109395,train
2000-01-14,0.0112133817866904,0.0112133817866904,0.0112133817866904,0.0112133817866904,train
2000-01-14,-0.0345504844632842,-0.0345504844632842,-0.0345504844632842,-0.0345504844632842,train
2000-01-18,-0.0080498407662732,-0.0080498407662732,-0.0080498407662732,-0.0080498407662732,train
2000-01-18,0.011821343833271,0.011821343833271,0.011821343833271,0.011821343833271,train
2000-01-19,0.0005213454702617,0.0005213454702617,0.0005213454702617,0.0005213454702617,train
2000-01-19,0.0426222232545525,0.0426222232545525,0.0426222232545525,0.0426222232545525,train
2000-01-20,-0.0033418997900487,-0.0033418997900487,-0.0033418997900487,-0.0033418997900487,train
2000-01-20,-0.0143373631081147,-0.0143373631081147,-0.0143373631081147,-0.0143373631081147,train
2000-01-21,-0.0029911290992956,-0.0029911290992956,-0.0029911290992956,-0.0029911290992956,train
2000-01-21,-0.0185276874231463,-0.0185276874231463,-0.0185276874231463,-0.0185276874231463,train
2000-01-24,0.0779051002106554,0.0779051002106554,0.0779051002106554,0.0779051002106554,train
2000-01-24,0.082264082994315,0.082264082994315,0.082264082994315,0.082264082994315,train
2000-01-25,-0.0051492399438148,-0.0051492399438148,-0.0051492399438148,-0.0051492399438148,train
2000-01-25,-0.0135679162772959,-0.0135679162772959,-0.0135679162772959,-0.0135679162772959,train
2000-01-26,0.0004711726245509,0.0004711726245509,0.0004711726245509,0.0004711726245509,train
2000-01-26,-0.0739279515929924,-0.0739279515929924,-0.0739279515929924,-0.0739279515929924,train
2000-01-27,-0.00196132734361,-0.00196132734361,-0.00196132734361,-0.00196132734361,train
2000-01-27,0.036997478357285,0.036997478357285,0.036997478357285,0.036997478357285,train
2000-01-28,-0.0131204920530896,-0.0131204920530896,-0.0131204920530896,-0.0131204920530896,train
2000-01-28,-0.028291076498063,-0.028291076498063,-0.028291076498063,-0.028291076498063,train
2000-01-31,-0.0168658256644613,-0.0168658256644613,-0.0168658256644613,-0.0168658256644613,train
2000-01-31,0.0549230811440344,0.0549230811440344,0.0549230811440344,0.0549230811440344,train
2000-02-01,0.0359152003741498,0.0359152003741498,0.0359152003741498,0.0359152003741498,train
2000-02-01,-0.0278942812876377,-0.0278942812876377,-0.0278942812876377,-0.0278942812876377,train
2000-02-02,0.0051720815335216,0.0051720815335216,0.0051720815335216,0.0051720815335216,train
2000-02-02,0.0307278499356666,0.0307278499356666,0.0307278499356666,0.0307278499356666,train
2000-02-03,0.1400054692750042,0.1400054692750042,0.1400054692750042,0.1400054692750042,train
2000-02-03,0.0431509915790846,0.0431509915790846,0.0431509915790846,0.0431509915790846,train
2000-02-04,-0.0260769510937706,-0.0260769510937706,-0.0260769510937706,-0.0260769510937706,train
2000-02-04,-0.0414058537613752,-0.0414058537613752,-0.0414058537613752,-0.0414058537613752,train
2000-02-07,-0.0239931433867854,-0.0239931433867854,-0.0239931433867854,-0.0239931433867854,train
2000-02-07,-0.0010280588103475,-0.0010280588103475,-0.0010280588103475,-0.0010280588103475,train
2000-02-08,-0.0213550732520448,-0.0213550732520448,-0.0213550732520448,-0.0213550732520448,train
2000-02-08,0.1017143219053089,0.1017143219053089,0.1017143219053089,0.1017143219053089,train
2000-02-09,-0.03483760939998,-0.03483760939998,-0.03483760939998,-0.03483760939998,train
2000-02-09,0.0164648442680643,0.0164648442680643,0.0164648442680643,0.0164648442680643,train
2000-02-10,-0.0237437124958677,-0.0237437124958677,-0.0237437124958677,-0.0237437124958677,train
2000-02-10,-0.0191146705715152,-0.0191146705715152,-0.0191146705715152,-0.0191146705715152,train
2000-02-11,0.0059709825737523,0.0059709825737523,0.0059709825737523,0.0059709825737523,train
2000-02-11,0.008401025483508,0.008401025483508,0.008401025483508,0.008401025483508,train
2000-02-14,-0.0060049941324762,-0.0060049941324762,-0.0060049941324762,-0.0060049941324762,train
